matrix_size,iteration_norm,error_delta_normed,duration,error_time
500,0.066,0.00222083024101,0.005057,0.439159628438
500,0.068,0.00232784020863,0.00333,0.699051113701
500,0.07,0.00243629461018,0.00354,0.688218816434
500,0.072,0.00225968562839,0.003603,0.627167812487
500,0.074,0.00236084956608,0.003836,0.615445663734
500,0.076,0.00246339501041,0.003989,0.617547006872
500,0.078,0.00229856005651,0.004162,0.552272959278
500,0.08,0.00239480330086,0.003815,0.627733499571
500,0.082,0.00249237635622,0.004294,0.580432313977
500,0.084,0.00233767600384,0.003869,0.604206772768
500,0.086,0.00242974360827,0.00461,0.527059351034
500,0.088,0.00252309847386,0.006189,0.407674660503
500,0.09,0.00237721282531,0.006433,0.369534093784
500,0.092,0.00246571495593,0.004848,0.508604570117
500,0.094,0.00255546938823,0.004629,0.552056467538
500,0.096,0.00241732031401,0.005156,0.468836368117
500,0.098,0.00250276432162,0.004964,0.504182981794
500,0.1,0.00258943208273,0.005361,0.483012886165
500,0.102,0.00245812781796,0.005421,0.453445456181
500,0.104,0.00254094143008,0.006639,0.382729542112
500,0.106,0.00262495575325,0.007402,0.354627905059
500,0.108,0.00249975055726,0.010178,0.245603316689
500,0.11,0.00258029899723,0.006928,0.372445005373
500,0.112,0.00266202990919,0.007549,0.352633449356
500,0.114,0.00254229412972,0.007523,0.33793621291
500,0.116,0.00262089298787,0.00667,0.392937479441
500,0.118,0.00270066033397,0.00856,0.315497702566
500,0.12,0.0025858578176,0.008401,0.307803573099
500,0.122,0.00266278289156,0.006822,0.390322909933
500,0.124,0.00274086629497,0.007263,0.377373853086
500,0.126,0.00263053708653,0.007127,0.369094582087
500,0.128,0.00270603202078,0.007692,0.35179823463
500,0.13,0.00278267861568,0.009116,0.305252151786
500,0.132,0.00267642553273,0.010084,0.265413083373
500,0.134,0.00275070783552,0.007648,0.359663681422
500,0.136,0.00282613835908,0.008507,0.332213278369
500,0.138,0.00272361645069,0.008845,0.307927241458
500,0.14,0.00279688229822,0.011075,0.252540162368
500,0.142,0.00287129595607,0.011278,0.254592654378
500,0.144,0.00277220413982,0.008689,0.319047547453
500,0.146,0.00284463226337,0.009267,0.306963662822
500,0.148,0.00291821066787,0.008896,0.328036271119
500,0.15,0.00282228503367,0.009046,0.311992597134
500,0.152,0.00289403990644,0.012967,0.223185000882
500,0.154,0.00296695030707,0.009667,0.306915310548
500,0.156,0.00287395871256,0.010891,0.263883822657
500,0.158,0.00294519319738,0.009916,0.297014239348
500,0.16,0.00301759116642,0.012207,0.247201701189
500,0.162,0.00292732884477,0.013104,0.223392005858
500,0.164,0.00299818642449,0.011935,0.251209587306
500,0.166,0.00307021812127,0.011186,0.274469705102
500,0.168,0.00298250409166,0.015679,0.190222851691
500,0.17,0.00305312077534,0.015865,0.192443792962
500,0.172,0.00312492488342,0.015235,0.20511485943
500,0.174,0.00303959900492,0.020456,0.148592051473
500,0.176,0.00311010498223,0.021412,0.145250559604
500,0.178,0.00318181439304,0.014729,0.21602378933
500,0.18,0.00309873493994,0.015325,0.202201301138
500,0.182,0.00316925604109,0.014083,0.225041258332
500,0.184,0.00324099934191,0.013739,0.235897761257
500,0.186,0.0031600410065,0.01507,0.209690843166
500,0.188,0.00323070001358,0.018225,0.177267490457
500,0.19,0.00330260282676,0.013825,0.238886280417
500,0.192,0.00322365507684,0.015142,0.212894933089
500,0.194,0.00329457292417,0.019568,0.168365337499
500,0.196,0.00336675913583,0.016341,0.20603140174
500,0.198,0.00328972487035,0.01767,0.186175714225
500,0.2,0.00336102176568,0.016764,0.200490441761
500,0.202,0.00343361467603,0.015525,0.22116680683
500,0.204,0.00335840913526,0.01706,0.196858683192
500,0.206,0.00343020562867,0.017911,0.191513909255
500,0.208,0.00350332905206,0.015111,0.231839656678
500,0.21,0.00342987894838,0.016875,0.20325208583
500,0.212,0.00350229697329,0.018281,0.19158125777
500,0.214,0.00357607631249,0.018389,0.194468231687
500,0.216,0.00350431915647,0.020849,0.168080922657
500,0.218,0.00357748306475,0.01711,0.209087262697
500,0.22,0.00365204638252,0.016838,0.21689312166
500,0.222,0.00358192998535,0.019705,0.181777720647
500,0.224,0.0036559675977,0.01785,0.204816111916
500,0.226,0.00373144670748,0.01837,0.203127202367
500,0.228,0.00366292884676,0.021101,0.173590296515
500,0.23,0.00373797253907,0.019016,0.196569864276
500,0.232,0.00381450413657,0.022355,0.170633153056
500,0.234,0.00374755237744,0.019745,0.189797537475
500,0.236,0.00382374022464,0.042126,0.0907691265404
500,0.238,0.00390146708266,0.038976,0.100099217022
500,0.24,0.00383605875108,0.024066,0.15939743834
500,0.242,0.0039135357509,0.025715,0.152188829512
500,0.244,0.00399260800133,0.057945,0.0689034084275
500,0.246,0.00392873031051,0.041075,0.0956477251494
500,0.248,0.004007649712,0.030775,0.130224198603
500,0.25,0.00408822624108,0.034981,0.116869907695
500,0.252,0.00402587657697,0.025927,0.155277377906
500,0.254,0.00410640134128,0.022216,0.184839815506
